what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1350496398311
started,bundle,com.android.ide.eclipse.traceview,20.0.3.v201208082019-427395,"com.android.ide.eclipse.traceview",1350496404691
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350496406750
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350496503016
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1350496503096
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350498013167
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350498053441
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350498092390
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1350498093887
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350498095658
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350498099122
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350498109009
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350498116641
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1350498116750
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350498117837
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350498122720
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1350498138111
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1350498140531
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1350498140570
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1350498141578
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1350498141604
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1350498142264
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1350498142419
started,bundle,org.eclipse.wst.xsl.ui,1.1.200.v201103082057,"org.eclipse.wst.xsl.ui",1350498142500
started,bundle,org.eclipse.jst.j2ee.core,1.2.102.v201202090300,"org.eclipse.jst.j2ee.core",1350498144375
started,bundle,org.eclipse.jem,2.0.501.v201111030500,"org.eclipse.jem",1350498144507
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1350498144775
started,bundle,org.eclipse.jst.j2ee,1.1.503.v201202090300,"org.eclipse.jst.j2ee",1350498145046
started,bundle,org.eclipse.jem.workbench,2.0.400.v201104251400,"org.eclipse.jem.workbench",1350498145184
